INFO:root:2019-02-22 15:01:52.921329: Autobot started
DEBUG:urllib3.connectionpool:https://trip101.com:443 "GET /article/food-tours-madrid-spain HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): trip101.com
INFO:root:2019-02-22 15:02:24.480763Found some emails, number:1
INFO:root:2019-02-22 15:02:24.482266Scraping URL: https://madridfoodtour.com/book-now/ for emails
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/tours HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/guides HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /guides/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/cdn-cgi/l/email-protection HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/faq HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /faq/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/about HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /about/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/job-opportunities HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /job-opportunities/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
DEBUG:urllib3.connectionpool:https://madridfoodtour.com:443 "GET /book-now/cdn-cgi/l/email-protection HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
