INFO:root:2019-02-20 20:44:20.401458: Autobot started
INFO:root:2019-02-20 20:44:29.692906: Magic Button Pressed
DEBUG:urllib3.connectionpool:https://www.urbanadventures.com:443 "GET /Madrid-tour-madrid-tapas-adventure/country?cn=Argentina&s-country=282 HTTP/1.1" 404 7601
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.discoverwalks.com
DEBUG:urllib3.connectionpool:https://www.discoverwalks.com:443 "GET /tour/madrid-walking-tours/madrid-food-tour/ HTTP/1.1" 200 9794
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.foodieflashpacker.com
DEBUG:urllib3.connectionpool:https://www.foodieflashpacker.com:443 "GET /walking-food-tour-of-madrid-devour-tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.foodieflashpacker.com
DEBUG:urllib3.connectionpool:https://www.foodieflashpacker.com:443 "GET /walking-food-tour-of-madrid-devour-tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): spanishsabores.com
DEBUG:urllib3.connectionpool:https://spanishsabores.com:443 "GET /2018/09/22/best-walking-tours-in-madrid-discover-madrid-on-foot/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): spanishsabores.com
DEBUG:urllib3.connectionpool:https://spanishsabores.com:443 "GET /2018/09/22/best-walking-tours-in-madrid-discover-madrid-on-foot/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): bitemojo.com
DEBUG:urllib3.connectionpool:https://bitemojo.com:443 "GET /madrid-food-tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): bitemojo.com
DEBUG:urllib3.connectionpool:https://bitemojo.com:443 "GET /madrid-food-tours/bangkok-food-tours/ HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://bitemojo.com:443 "GET /bangkok-food-tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.hostalpersal.com
DEBUG:urllib3.connectionpool:https://www.hostalpersal.com:443 "GET /en/madrid-news/devour-madrid/ HTTP/1.1" 200 14146
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.hostalpersal.com
DEBUG:urllib3.connectionpool:https://www.hostalpersal.com:443 "GET /en/madrid-news/devour-madrid/?PageSpeed=noscript HTTP/1.1" 200 13577
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): www.madridwine.com
DEBUG:urllib3.connectionpool:http://www.madridwine.com:80 "GET / HTTP/1.1" 200 6103
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.winebus.es
DEBUG:urllib3.connectionpool:https://www.winebus.es:443 "GET /en/ HTTP/1.1" 200 19314
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.gourmetmadrid.com
DEBUG:urllib3.connectionpool:https://www.gourmetmadrid.com:443 "GET /en/wine-tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.winerist.com
DEBUG:urllib3.connectionpool:https://www.winerist.com:443 "GET /tours/madrid/madrid-1-day-wine-tour HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.winerist.com
DEBUG:urllib3.connectionpool:https://www.winerist.com:443 "GET /tours/madrid/madrid-1-day-wine-tour/ HTTP/1.1" 301 193
DEBUG:urllib3.connectionpool:https://www.winerist.com:443 "GET /tours/madrid/madrid-1-day-wine-tour HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): catavino.net
DEBUG:urllib3.connectionpool:https://catavino.net:443 "GET /visiting-wineries-train-madrid/ HTTP/1.1" 200 40574
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): catavino.net
DEBUG:urllib3.connectionpool:https://catavino.net:443 "GET /visiting-wineries-train-madrid//www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fcatavino.net%2Fvisiting-wineries-train-madrid%2F&media=https%3A%2F%2Fcatavino.net%2Fwp-content%2Fuploads%2F2015%2F07%2Fzachariah-hagy-484678-unsplash.jpg&description=Madrid%3A%20Which%20Wineries%20You%20Can%20Visit%20By%20Train%3F HTTP/1.1" 414 0
INFO:root:2019-02-20 20:46:00.518616: Completed a search, here are the stats: 
Number of entries = 21

INFO:root:2019-02-20 20:48:17.291051: Autobot ended
